years_used,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
11,145500,0,0,0,0,23.4,1248,74.0,5.0,450000
11,120000,0,0,0,1,21.14,1498,103.52,5.0,370000
19,140000,1,0,0,2,17.7,1497,78.0,5.0,158000
15,127000,0,0,0,0,23.0,1396,90.0,5.0,225000
18,120000,1,0,0,0,16.1,1298,88.2,5.0,130000
8,45000,1,0,0,0,20.14,1197,81.86,5.0,440000
18,175000,2,0,0,0,17.3,1061,57.5,5.0,96000
24,5000,1,0,0,1,16.1,796,37.0,4.0,45000
14,90000,0,0,0,0,23.59,1364,67.1,5.0,350000
12,169000,0,0,0,0,20.0,1399,68.1,5.0,200000
11,68000,0,0,0,1,19.01,1461,108.45,5.0,500000
20,100000,1,0,0,1,17.3,993,60.0,5.0,92000
16,140000,0,0,0,1,19.3,1248,73.9,5.0,280000
16,90000,1,0,0,1,18.9,1061,67.0,5.0,180000
9,40000,1,0,0,0,18.15,1198,82.0,5.0,400000
9,70000,0,0,0,1,24.52,1248,88.5,7.0,778000
13,53000,0,0,0,1,23.0,1396,90.0,5.0,500000
23,80000,1,0,0,1,19.7,796,46.3,5.0,150000
9,100000,0,0,0,0,22.54,1396,88.73,5.0,680000
14,100000,0,0,0,1,21.0,1461,64.1,5.0,174000
8,50000,0,0,0,0,25.5,1498,98.6,5.0,950000
10,40000,0,0,0,0,26.59,1248,74.0,5.0,525000
13,72000,0,0,0,0,21.5,1248,88.8,5.0,600000
7,35000,1,0,0,0,20.3,1199,83.81,5.0,500000
9,45000,1,0,0,0,21.4,1197,83.1,5.0,575000
8,28000,1,0,0,0,24.7,796,47.3,5.0,275000
12,70000,0,0,0,0,18.2,1248,73.8,7.0,300000
16,120000,1,0,0,0,18.9,1061,67.0,5.0,220000
7,25000,1,0,0,0,16.8,796,34.2,8.0,254999
8,70000,0,0,0,0,24.3,1248,88.5,5.0,670000
13,35000,1,0,0,1,14.0,796,35.0,5.0,150000
7,2388,1,0,0,0,18.6,1197,81.83,5.0,730000
8,16200,0,0,0,0,24.3,1248,88.5,5.0,650000
6,10000,3,0,0,1,33.44,796,40.3,4.0,330000
6,15000,1,0,0,0,23.95,998,67.1,5.0,366000
6,5000,1,0,0,0,17.0,1591,121.3,5.0,1149000
9,42000,1,0,0,0,20.63,1198,67.0,5.0,150000
14,60000,0,0,0,1,13.93,2179,138.03,7.0,425000
13,76000,1,0,0,0,16.1,796,37.0,4.0,150000
7,28900,1,1,0,0,17.8,1497,117.3,5.0,925000
12,86300,1,1,0,0,16.8,1497,116.3,5.0,425000
7,23300,1,1,1,0,18.5,1197,83.14,5.0,675000
7,32600,0,1,0,0,24.3,1248,88.5,5.0,819999
7,10300,1,1,0,0,23.95,998,67.05,5.0,390000
11,77000,0,1,0,0,12.55,2982,168.5,7.0,1500000
12,99000,0,1,0,0,12.99,2494,100.0,7.0,700000
11,27800,0,1,1,1,14.8,2143,120.7,5.0,1450000
10,49800,0,1,0,0,24.7,1498,98.63,5.0,425000
10,54700,0,1,0,0,26.0,1498,98.6,5.0,600000
7,64000,1,1,0,0,20.65,1462,103.25,5.0,850000
10,63000,0,1,0,0,27.3,1498,98.6,5.0,525000
9,127700,0,1,1,1,11.36,2755,171.5,7.0,1650000
9,99000,0,1,0,0,12.99,2494,100.6,7.0,950000
12,33900,0,1,1,1,17.68,1968,174.33,5.0,1750000
7,25000,1,1,1,0,14.28,1798,138.03,5.0,1590000
12,50000,0,1,1,0,18.53,1968,187.74,5.0,1689999
12,59000,0,1,1,0,14.84,2143,170.0,5.0,1425000
14,120000,0,0,0,0,21.12,1248,88.8,5.0,265000
14,110000,1,0,0,2,20.36,1197,78.9,5.0,190000
12,60000,0,0,0,0,21.27,1396,88.76,5.0,425000
10,147000,0,0,0,1,26.59,1248,74.0,5.0,630000
8,25000,1,0,0,2,18.16,1196,86.8,5.0,600000
6,30000,1,0,0,0,21.4,1197,83.1,5.0,650000
9,40000,0,0,0,0,22.0,1498,108.495,5.0,540000
10,135000,0,0,0,0,25.1,1498,98.6,5.0,630000
7,30000,1,0,1,0,20.51,998,67.0,5.0,448000
8,80000,0,0,0,0,21.66,1498,108.62,5.0,500000
9,70000,0,0,0,0,24.3,1248,88.5,5.0,745000
6,9850,0,0,1,0,24.3,1248,88.5,5.0,1025000
14,60000,1,0,0,1,20.36,1197,78.9,5.0,235000
9,70000,0,0,0,0,25.2,1248,74.0,5.0,630000
10,78000,0,0,0,1,12.55,2982,168.5,7.0,1700000
12,120000,0,0,0,1,22.9,1248,74.0,5.0,450000
13,120000,1,0,0,1,16.02,1373,93.7,7.0,450000
12,170000,0,0,0,0,20.54,1598,103.6,5.0,450000
9,140000,0,0,0,0,12.99,2494,100.6,8.0,1200000
10,90000,0,0,0,0,22.77,1498,98.59,5.0,610000
9,30000,1,0,1,1,15.71,1998,189.0,5.0,2500000
8,10000,1,1,0,0,23.1,998,67.04,5.0,484999
9,49000,1,1,0,0,19.02,1198,67.05,5.0,275000
9,32000,1,1,0,0,24.7,796,47.3,5.0,315000
9,38000,1,1,0,0,24.7,796,47.3,5.0,275000
13,28000,1,1,0,0,19.81,1086,68.05,5.0,290000
8,32000,1,1,0,0,14.0,796,35.0,5.0,280000
15,44000,2,1,0,0,26.2,998,58.2,5.0,225000
10,42000,1,1,0,0,16.47,1198,74.0,5.0,455000
10,45000,1,1,0,1,19.81,1086,68.05,5.0,351000
13,12000,1,1,0,1,15.04,1598,103.6,5.0,535000
16,55500,1,1,0,0,18.2,998,67.1,5.0,175000
12,61500,1,1,0,0,18.5,1197,82.85,5.0,525000
9,150000,0,0,0,0,26.59,1248,74.0,5.0,600000
9,72000,1,1,1,0,19.1,1197,82.0,5.0,565000
17,68000,1,1,0,2,19.7,796,46.3,5.0,120000
8,110000,0,0,0,0,22.54,1396,88.73,5.0,725000
16,77000,1,1,0,1,21.79,998,67.05,5.0,185000
15,100000,0,0,0,1,18.8,1248,90.0,5.0,200000
6,10000,1,0,0,0,21.21,1197,81.8,5.0,615000
9,100000,1,0,0,2,15.37,1196,73.0,7.0,270000
7,35000,1,0,0,0,21.4,1197,83.1,5.0,610000
11,70000,0,0,1,1,11.79,2179,120.0,8.0,625000
5,5000,1,0,0,1,19.0,1194,94.68,5.0,400000
